AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
0.0, 2, 1, 0, 140, 1, 2, 0.1
0.0, 1, 2, 0, 140, 2, 2, 0.1
0.0, 0, 3, 0, 140, 2, 2, 0.1
0.0, 1, 3, 0, 140, 2, 2, 0.1
0.0, 3, 0, 0, 140, 1, 1, 0.1
0.0, 1, 0, 0, 140, 1, 2, 0.1
0.0, 0, 1, 0, 140, 2, 2, 0.1
0.0, 3, 1, 0, 140, 1, 1, 0.1
0.0, 3, 2, 0, 140, 1, 1, 0.1
0.0, 2, 0, 0, 140, 1, 2, 0.1
0.0, 0, 2, 0, 140, 2, 1, 0.1
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
0.0, 1, 0, 0, 140, 1, 2, 0.1
0.0, 2, 0, 0, 140, 1, 2, 0.1
0.0, 3, 0, 0, 140, 1, 2, 0.1
0.0, 3, 1, 0, 140, 1, 2, 0.1
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
0.0, 1, 0, 0, 140, 1, 2, 0.1
0.0, 2, 0, 0, 140, 1, 1, 0.1
0.0, 3, 0, 0, 140, 1, 1, 0.1
0.0, 3, 1, 0, 140, 1, 1, 0.1
0.0, 3, 1, 0, 140, 1, 1, 0.1
0.0, 2, 0, 0, 140, 1, 1, 0.1
0.0, 1, 0, 0, 140, 1, 2, 0.1
0.0, 3, 0, 0, 140, 1, 2, 0.1
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
0.0, 3, 0, 0, 140, 1, 1, 0.1
0.0, 3, 0, 0, 140, 1, 1, 0.1
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
0.0, 3, 0, 0, 140, 1, 1, 0.1
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
0.0, 3, 0, 0, 140, 1, 1, 0.1
0.0, 3, 0, 0, 140, 1, 1, 0.1
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, numVisLow, numTactLow, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
