AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
300, 0, 300, 2, 1, 80
300, 0, 300, 2, 2, 80
300, 0, 300, 2, 2, 80
-300, 300, 0, 1, 1, 80
-300, 300, 0, 1, 1, 80
-300, 300, 0, 1, 1, 80
-300, 300, 0, 1, 1, 80
300, 0, 300, 2, 2, 80
300, 0, 300, 2, 2, 80
-300, 300, 0, 1, 1, 80
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
-300, 300, 0, 1, 1, 80
300, 0, 300, 2, 2, 80
-300, 300, 0, 1, 1, 80
300, 0, 300, 2, 2, 80
300, 0, 300, 2, 2, 80
-300, 300, 0, 1, 1, 80
300, 0, 300, 2, 2, 80
-300, 300, 0, 1, 1, 80
-300, 300, 0, 1, 1, 80
300, 0, 300, 2, 2, 80
