AsynchronyVal, LEDDelay, BuzzDelay, correctResponse, subjectResponse, stimulusDuration
150, 0, 150, 2, 0, 80
30, 0, 30, 2, 0, 80
-30, 30, 0, 1, 0, 80
-120, 120, 0, 1, 0, 80
-180, 180, 0, 1, 0, 80
60, 0, 60, 2, 0, 80
0, 0, 0, 2, 0, 80
180, 0, 180, 2, 0, 80
120, 0, 120, 2, 0, 80
240, 0, 240, 2, 0, 80
90, 0, 90, 2, 0, 80
-240, 240, 0, 1, 0, 80
-90, 90, 0, 1, 0, 80
-150, 150, 0, 1, 0, 80
-60, 60, 0, 1, 0, 80
30, 60, 0, 1, 0, 80
-120, 120, 0, 1, 0, 80
150, 0, 150, 2, 0, 80
-240, 240, 0, 1, 0, 80
90, 0, 90, 2, 0, 80
120, 0, 120, 2, 0, 80
-60, 60, 0, 1, 0, 80
60, 0, 60, 2, 0, 80
-90, 90, 0, 1, 0, 80
-30, 30, 0, 1, 0, 80
240, 0, 240, 2, 0, 80
-150, 150, 0, 1, 0, 80
-180, 180, 0, 1, 0, 80
0, 0, 0, 2, 0, 80
180, 0, 180, 2, 0, 80
